Dados horários fornecidos pelo sistema QUALAR/CETESB, reduzidos para a escala diaria.
Estacao Ibirapuera
variavel, unidade, descricao
date, dia, yyyy-mm-dd
MP10, ug/m3, concentração de material particulado inalável
CO, ppm, concentração de monóxido de carbono
O3, ug/m3, concentração de ozônio
NO, ug/m3, concentração de óxido de nitrogênio
NO2, ug/m3, concentração de dióxido de nitrogênio
Dados faltantes são representados por "NaN".
date,MP10,CO,O3,NO,NO2
2005-10-14,63.875,1.822,68.174,100.261,55.348
2005-10-15,14.125,0.517,52.870,1.174,29.087
2005-10-16,21.500,0.571,58.857,1.524,26.190
2005-10-17,39.792,1.043,32.174,19.435,62.739
2005-10-18,19.708,0.787,13.739,20.000,46.696
2005-10-19,19.083,0.552,18.348,8.957,34.609
2005-10-20,25.458,0.535,31.348,7.652,37.304
2005-10-21,38.042,0.891,45.957,12.174,55.391
2005-10-22,20.792,0.687,57.522,1.391,36.174
2005-10-23,15.875,0.513,56.261,1.391,23.826
2005-10-24,23.375,0.552,41.913,4.783,30.348
2005-10-25,31.667,0.791,50.826,8.565,54.826
2005-10-26,35.583,1.057,27.435,33.217,64.739
2005-10-27,21.792,0.609,43.304,9.304,36.826
2005-10-28,30.333,1.113,37.261,39.478,44.565
2005-10-29,13.208,0.635,22.391,11.696,33.261
2005-10-30,11.917,0.383,29.739,2.435,18.478
2005-10-31,11.375,0.443,18.783,6.913,29.957
2005-11-01,12.208,0.370,26.304,5.391,26.435
2005-11-02,15.375,0.352,27.174,3.652,23.652
2005-11-03,15.458,0.461,35.957,7.391,29.435
2005-11-04,23.458,0.800,26.565,18.870,49.870
2005-11-05,28.833,0.935,47.478,20.043,44.696
2005-11-06,26.292,0.513,83.913,1.522,21.522
2005-11-07,23.083,0.452,41.652,5.478,27.652
2005-11-08,11.625,0.422,30.087,5.087,24.652
2005-11-09,13.375,0.330,22.174,5.478,22.565
2005-11-10,15.400,0.311,19.556,7.000,21.222
2005-11-11,NaN,NaN,NaN,NaN,NaN
